epoch,train_loss,val_loss,val_acc
0,0.9457054533018402,0.4903447047066501,0.8793333333333333
1,0.39554428243524176,0.35774971422754204,0.9058333333333334
2,0.316612939696351,0.3076047125187223,0.9173333333333333
3,0.27833955913926656,0.2785540162431395,0.9235
4,0.2527829172593874,0.25809834575860835,0.9288333333333333
5,0.2332369850679451,0.24255073380282852,0.934
6,0.2173847515891647,0.22851369052664428,0.9356666666666666
7,0.20410399640407287,0.21749396487565725,0.9378333333333333
8,0.19272224209679115,0.20835463823406478,0.939
9,0.1828532786623582,0.20139123741784,0.9401666666666667
10,0.17395825281801425,0.1929143040807167,0.943
11,0.16602353446455645,0.18710018168177694,0.9451666666666667
12,0.15881147795339867,0.18195907874622644,0.947
13,0.15194899043218651,0.17527412964251318,0.948
14,0.14614499308400453,0.1712249668810619,0.9475
15,0.14063990613663951,0.16902594886329772,0.9501666666666667
16,0.13563908821974055,0.16463425003689383,0.9511666666666667
17,0.13074385358136012,0.15867941245089623,0.9535
18,0.12645116423628494,0.15679154923857266,0.9535
19,0.12243305466682926,0.15355019921461047,0.9545
20,0.11841572003899548,0.15169657337569006,0.9541666666666667
21,0.11488927007187771,0.14677407539122117,0.9541666666666667
22,0.11150449527919222,0.1457914402848036,0.957
23,0.1082803107575276,0.14248257767608602,0.9581666666666667
24,0.10530878882575581,0.14010691154251936,0.9575
25,0.10228142763674977,0.13864957408557604,0.9596666666666667
26,0.0996598284276594,0.13665524454783276,0.9585
27,0.09714733071717452,0.13409465852485453,0.9596666666666667
28,0.09441777453063464,0.13332633238066868,0.9603333333333334
29,0.09214311880467162,0.13081482367582797,0.9595
