epoch,train_loss,val_loss,val_acc
0,0.3405377878598666,0.22176988056261332,0.9345
1,0.1630005137293061,0.15253209787228067,0.9545
2,0.11493736206082762,0.12494846256548613,0.9631666666666666
3,0.08832405912359183,0.11195434026450383,0.9655
4,0.07037882135104476,0.10549226233483408,0.968
5,0.05762894715622426,0.09371155769339218,0.9708333333333333
6,0.04730933129234313,0.09418874730843034,0.9701666666666666
7,0.039023711679638945,0.0898397176549646,0.972
8,0.032882749138581496,0.08873656491930677,0.9726666666666667
9,0.027323632159178372,0.0854700471028948,0.9738333333333333
10,0.02300958614010335,0.0886652195444909,0.974
11,0.019735888605872755,0.09155603434677459,0.973
12,0.01565542249379442,0.08966118859659451,0.9751666666666666
13,0.013948416222255866,0.09258231498059664,0.9738333333333333
14,0.011156351276183935,0.09069773452815146,0.9746666666666667
15,0.009720224922794842,0.08968315493555083,0.9741666666666666
16,0.008624801654680294,0.09330052356645492,0.9753333333333334
17,0.0065473374632136535,0.0988432316747485,0.975
18,0.005832717297310267,0.09337318657698515,0.9745
19,0.00582600089969209,0.09604402672393517,0.9771666666666666
