epoch,train_loss,val_loss,val_acc
0,0.38896612682680426,0.2406589518226276,0.9321666666666667
1,0.19542561659482036,0.1812951975156287,0.9476666666666667
2,0.14917403665182136,0.15393820111049286,0.9533333333333334
3,0.12129538169662196,0.13991601128022912,0.9585
4,0.10123326342282248,0.12619215807342865,0.9628333333333333
5,0.08567617482776392,0.12055954307400628,0.9643333333333334
6,0.0748914052075661,0.11723137643251552,0.9661666666666666
7,0.06520677514375348,0.10979746710988615,0.9676666666666667
8,0.058063823684216274,0.11120808372463424,0.9668333333333333
9,0.05150686594187746,0.11512076174185128,0.966
10,0.046289807856392126,0.1070643310671721,0.9676666666666667
11,0.040860774996697255,0.10876367509517677,0.9683333333333334
12,0.036920170019132614,0.11134682916913499,0.967
13,0.03322889769680595,0.11004464738782087,0.9676666666666667
14,0.029683799010358548,0.11220730900153257,0.9683333333333334
15,0.02622211838755909,0.11033727862044641,0.9688333333333333
16,0.024298012834972276,0.11775188766270418,0.967
17,0.021619870137644128,0.11311502952612297,0.9686666666666667
18,0.019657822159557296,0.11823573512456076,0.9688333333333333
19,0.017415942232285986,0.11882600172442022,0.9678333333333333
20,0.01621726631514121,0.12049218247033439,0.9683333333333334
