epoch,train_loss,val_loss,val_acc
0,0.7671625450830839,0.40540112819746915,0.8925
1,0.3414349665318837,0.3161948351862258,0.9145
2,0.2828623386337924,0.27652465475252014,0.923
3,0.2507919115035095,0.2512590738031341,0.9291666666666667
4,0.22805211330634215,0.23527537871737816,0.9325
5,0.21038536130133711,0.22021505066027983,0.937
6,0.19530254024224583,0.20897440984920654,0.9401666666666667
7,0.183026380641835,0.19933206665197648,0.9428333333333333
8,0.17194361507196942,0.19053859250786995,0.9455
9,0.16216884449022517,0.1813585328873475,0.9481666666666667
